Id,Category
0,Miscellaneous.Urban
1,Miscellaneous
2,Economy
3,Science and Culture
4,Politics
5,Politics
6,Economy
7,Miscellaneous.Urban
8,Miscellaneous.Urban
9,Miscellaneous.Urban
10,Miscellaneous
11,Miscellaneous.Happenings
12,Social
13,Miscellaneous.World News
14,Social
15,Miscellaneous
16,Miscellaneous
17,Politics
18,Miscellaneous
19,Science and Culture
20,Science and Culture
21,Science and Culture
22,Miscellaneous
23,Miscellaneous.Urban
24,Science and Culture
25,Politics
26,Politics
27,Sport
28,Miscellaneous
29,Literature and Art
30,Science and Culture
31,Miscellaneous.Happenings
32,Miscellaneous
33,Economy
34,Miscellaneous.World News
35,Miscellaneous
36,Miscellaneous.Urban
37,Miscellaneous
38,Miscellaneous
39,Miscellaneous
40,Literature and Art
41,Politics
42,Sport
43,Miscellaneous
44,Miscellaneous
45,Miscellaneous.World News
46,Miscellaneous.Urban
47,Miscellaneous.Urban
48,Miscellaneous.World News
49,Miscellaneous.Urban
50,Miscellaneous.World News
51,Miscellaneous
52,Miscellaneous
53,Sport
54,Miscellaneous.World News
55,Science and Culture
56,Miscellaneous
57,Economy
58,Economy
59,Miscellaneous
60,Politics
61,Sport
62,Economy
63,Miscellaneous
64,Sport
65,Miscellaneous.World News
66,Miscellaneous.Urban
67,Miscellaneous.Urban
68,Miscellaneous
69,Miscellaneous.World News
70,Politics
71,Miscellaneous
72,Social
73,Miscellaneous
74,Sport
75,Politics
76,Miscellaneous.World News
77,Natural Environment
78,Miscellaneous
79,Miscellaneous
80,Politics
81,Miscellaneous.Urban
82,Literature and Art
83,Miscellaneous.World News
84,Sport
85,Sport
86,Economy
87,Social
88,Economy
89,Social
90,Miscellaneous
91,Economy
92,Economy
93,Miscellaneous
94,Miscellaneous
95,Miscellaneous.World News
96,Miscellaneous
97,Science and Culture
98,Miscellaneous
99,Economy
100,Miscellaneous.World News
101,Sport
102,Miscellaneous
103,Science and Culture
104,Miscellaneous.World News
105,Miscellaneous.Urban
106,Sport
107,Miscellaneous
108,Miscellaneous.Urban
109,Miscellaneous
110,Sport
111,Economy
112,Miscellaneous
113,Science and Culture
114,Miscellaneous.World News
115,Economy
116,Miscellaneous.Urban
117,Economy
118,Miscellaneous
119,Economy
120,Economy
121,Literature and Art
122,Miscellaneous
123,Miscellaneous.Urban
124,Miscellaneous
125,Economy
126,Sport
127,Science and Culture
128,Miscellaneous
129,Politics
130,Miscellaneous
131,Science and Culture
132,Social
133,Sport
134,Economy.Bank and Bourse
135,Economy
136,Economy
137,Miscellaneous.Urban
138,Miscellaneous.Happenings
139,Politics
140,Economy
141,Politics
142,Science and Culture
143,Science and Culture
144,Miscellaneous
145,Miscellaneous
146,Miscellaneous
147,Social
148,Literature and Art
149,Politics
150,Politics
151,Miscellaneous
152,Economy
153,Miscellaneous
154,Economy
155,Miscellaneous.Urban
156,Miscellaneous
157,Miscellaneous
158,Science and Culture
159,Economy
160,Miscellaneous
161,Sport
162,Social
163,Miscellaneous.Urban
164,Social
165,Miscellaneous
166,Miscellaneous.Urban
167,Social
168,Science and Culture
169,Politics
170,Economy
171,Miscellaneous.Urban
172,Miscellaneous
173,Economy
174,Miscellaneous
175,Miscellaneous.World News
176,Miscellaneous
177,Miscellaneous.World News
178,Sport
179,Sport
180,Miscellaneous.Urban
181,Miscellaneous
182,Economy
183,Miscellaneous
184,Miscellaneous
185,Politics
186,Miscellaneous.Happenings
187,Politics
188,Miscellaneous
189,Science and Culture
190,Miscellaneous
191,Social
192,Miscellaneous
193,Sport
194,Miscellaneous
195,Miscellaneous
196,Miscellaneous.Urban
197,Social
198,Miscellaneous
199,Sport
200,Economy
201,Social
202,Economy
203,Sport
204,Miscellaneous
205,Politics
206,Economy
207,Miscellaneous
208,Sport
209,Miscellaneous
210,Politics
211,Economy
212,Miscellaneous
213,Economy
214,Literature and Art.Art
215,Miscellaneous.Urban
216,Miscellaneous
217,Miscellaneous
218,Miscellaneous.World News
219,Miscellaneous.Urban
220,Miscellaneous.Urban
221,Miscellaneous
222,Politics
223,Politics
224,Miscellaneous.World News
225,Politics
226,Miscellaneous.Happenings
227,Miscellaneous
228,Miscellaneous.Happenings
229,Sport
230,Miscellaneous.Urban
231,Miscellaneous.Urban
232,Sport
233,Sport
234,Miscellaneous
235,Economy
236,Miscellaneous
237,Miscellaneous
238,Miscellaneous.World News
239,Sport
240,Miscellaneous.World News
241,Politics
242,Miscellaneous
243,Politics
244,Miscellaneous.Happenings
245,Economy
246,Miscellaneous.Urban
247,Miscellaneous.Urban
248,Miscellaneous.World News
249,Miscellaneous
250,Economy
251,Miscellaneous.Urban
252,Politics
253,Politics
254,Miscellaneous.World News
255,Miscellaneous.Urban
256,Politics
257,Miscellaneous
258,Sport
259,Literature and Art.Art
260,Sport
261,Miscellaneous
262,Science and Culture
263,Sport
264,Miscellaneous.Urban
265,Politics
266,Miscellaneous
267,Miscellaneous.Urban
268,Miscellaneous
269,Economy
270,Miscellaneous.Urban
271,Economy
272,Miscellaneous.Urban
273,Miscellaneous.Urban
274,Politics
275,Miscellaneous
276,Miscellaneous.Happenings
277,Miscellaneous
278,Economy
279,Miscellaneous
280,Economy
281,Miscellaneous.World News
282,Politics
283,Miscellaneous.Picture
284,Miscellaneous.World News
285,Politics
286,Miscellaneous
287,Economy
288,Sport
289,Miscellaneous
290,Social
291,Politics
292,Science and Culture
293,Sport
294,Economy
295,Miscellaneous
296,Miscellaneous
297,Social
298,Miscellaneous
299,Miscellaneous.Urban
300,Science and Culture
301,Miscellaneous.Picture
302,Miscellaneous.Urban
303,Miscellaneous.Urban
304,Economy
305,Miscellaneous.World News
306,Politics
307,Economy
308,Miscellaneous
309,Economy
310,Miscellaneous
311,Politics
312,Miscellaneous
313,Miscellaneous.World News
